Name,Description,Latitude,Longitude,InfoURL,ImageURL
Blue cheese,"Plain, temperate Marine climate. Suitable for herbage growth, animal husbandry developed, high dairy production.",43.97475744,2.99267604,https://www.britannica.com/topic/Roquefort,https://upload.wikimedia.org/wikipedia/commons/f/f3/Bleu_d%27Auvergne_cheese.jpg
Whale meat,"The polar regions, with lots of frozen ground, little biodiversity and freezing temperatures. So people hunted at sea because fuel was scarce and they ate raw meat for calories.",61.23290782,-149.7170999,https://www.theguardian.com/artanddesign/2019/feb/04/people-of-the-whale-a-portrait-of-traditional-hunting-in-alaska,https://runawayjuno.com/wp-content/uploads/2020/05/Utqiagvik-Whaling-6104947-Juno-Kim.jpg
Insect Cuisine,"South of the Tropic of Cancer, back to the Eurasian continent, facing the sea, belongs to the typical tropical monsoon climate. Affected by the terrain and monsoon, high temperature, rainfall, perennial as summer, dry season and rainy season distinct. So bugs are abundant, meat is scarce, and bugs are chosen to supplement the missing protein.",12.05870953,105.0783489,https://www.rainforestcruises.com/guides/eating-spiders-in-cambodia,"https://res.cloudinary.com/rainforest-cruises/images/c_fill,g_auto/f_auto,q_auto/v1622140350/Eating-Spiders-in-Cambodia-Market/Eating-Spiders-in-Cambodia-Market.jpg"
Ceviche,"A raw fish salad. In the southeast trade winds, upwelling of the Peruvian cold current forms the famous Peruvian fishing grounds. Plankton blooms provide sufficient food for fish and shrimp. Fish can be eaten raw because fishing is plentiful and fresh.",-12.0312418,-76.9348193,https://en.wikipedia.org/wiki/Ceviche,https://upload.wikimedia.org/wikipedia/commons/7/78/Cebiche_de_corvina.JPG
